        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 3.20000000e+00,        -1.149841153810e+00,        +1.694263509601e+02,        -1.054890955974e+01,        -1.115180104847e+02
 3.22500000e+00,        -1.083203239515e+00,        +1.681568426880e+02,        -1.099516116443e+01,        -1.140212917056e+02
 3.25000000e+00,        -1.026771758445e+00,        +1.668477669977e+02,        -1.148686698192e+01,        -1.165508867097e+02
 3.27500000e+00,        -9.811674039275e-01,        +1.655049713300e+02,        -1.202896238866e+01,        -1.190985309418e+02
 3.30000000e+00,        -9.469022135321e-01,        +1.641348634784e+02,        -1.262721285891e+01,        -1.216549032716e+02
 3.32500000e+00,        -9.243646879567e-01,        +1.627442943158e+02,        -1.328849328273e+01,        -1.242095405360e+02
 3.35000000e+00,        -9.138088411494e-01,        +1.613404214552e+02,        -1.402119457895e+01,        -1.267506561153e+02
 3.37500000e+00,        -9.153475897917e-01,        +1.599305592062e+02,        -1.483582650123e+01,        -1.292647871511e+02
 3.40000000e+00,        -9.289509105130e-01,        +1.585220220845e+02,        -1.574593361956e+01,        -1.317361253321e+02
 3.42500000e+00,        -9.544489074089e-01,        +1.571219704896e+02,        -1.676953247320e+01,        -1.341452502260e+02
 3.45000000e+00,        -9.915393079346e-01,        +1.557372614931e+02,        -1.793146660685e+01,        -1.364667206705e+02
 3.47500000e+00,        -1.039799485434e+00,        +1.543743234383e+02,        -1.926746496311e+01,        -1.386641966381e+02
 3.50000000e+00,        -1.098701330024e+00,        +1.530390439301e+02,        -2.083165186878e+01,        -1.406800333716e+02
 3.52500000e+00,        -1.167628706883e+00,        +1.517366867302e+02,        -2.271172729431e+01,        -1.424104679039e+02
 3.55000000e+00,        -1.245896199412e+00,        +1.504718344946e+02,        -2.506363803115e+01,        -1.436369280078e+02
 3.57500000e+00,        -1.332768198354e+00,        +1.492483579718e+02,        -2.820594973859e+01,        -1.437866256328e+02
 3.60000000e+00,        -1.427477452606e+00,        +1.480694098865e+02,        -3.295794137100e+01,        -1.406938572956e+02
 3.62500000e+00,        -1.529242355476e+00,        +1.469374405202e+02,        -4.234609852080e+01,        -1.150596163828e+02
 3.65000000e+00,        -1.637282427731e+00,        +1.458542312305e+02,        -3.913790493060e+01,        -4.747317073415e+00
 3.67500000e+00,        -1.750831656969e+00,        +1.448209417793e+02,        -3.188122173257e+01,        +8.614010990770e+00
 3.70000000e+00,        -1.869149526481e+00,        +1.438381672957e+02,        -2.799128144144e+01,        +1.061961268221e+01
 3.72500000e+00,        -1.991529710179e+00,        +1.429060010834e+02,        -2.538868811501e+01,        +1.045562491625e+01
 3.75000000e+00,        -2.117306548024e+00,        +1.420240999687e+02,        -2.345720597120e+01,        +9.551312302765e+00
 3.77500000e+00,        -2.245859496367e+00,        +1.411917493903e+02,        -2.193744070454e+01,        +8.330817484541e+00
 3.80000000e+00,        -2.376615794540e+00,        +1.404079260864e+02,        -2.069606270060e+01,        +6.963399013566e+00
 3.82500000e+00,        -2.509051616675e+00,        +1.396713568322e+02,        -1.965544619629e+01,        +5.529208375461e+00
 3.85000000e+00,        -2.642691981634e+00,        +1.389805722070e+02,        -1.876637358284e+01,        +4.070567339618e+00
 3.87500000e+00,        -2.777109681136e+00,        +1.383339548119e+02,        -1.799563937254e+01,        +2.611473698519e+00
 3.90000000e+00,        -2.911923463113e+00,        +1.377297817183e+02,        -1.731975695769e+01,        +1.166159339085e+00
 3.92500000e+00,        -3.046795678509e+00,        +1.371662612029e+02,        -1.672148594571e+01,        -2.567369885457e-01
 3.95000000e+00,        -3.181429568629e+00,        +1.366415640186e+02,        -1.618778744146e+01,        -1.651961748768e+00
 3.97500000e+00,        -3.315566339296e+00,        +1.361538495816e+02,        -1.570855573748e+01,        -3.016399370840e+00
 4.00000000e+00,        -3.448982139235e+00,        +1.357012875360e+02,        -1.527579718042e+01,        -4.348328977328e+00
