        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 2.00000000e+00,        +1.414213562373e-01,        +6.536621198738e-02,        -3.112261103896e-03,        +4.972609533178e-02,        -4.793245197350e-02
 2.50000000e+00,        +1.414213562373e-01,        +5.463364718868e-02,        -6.301048084449e-03,        +3.138882531670e-02,        -5.929182637701e-02
 3.00000000e+00,        +1.414213562373e-01,        +2.858734844566e-02,        +4.552037191067e-03,        -2.994521017204e-03,        -5.503577330704e-02
 3.50000000e+00,        +1.414213562373e-01,        +3.034759136551e-02,        +5.649960007319e-02,        -9.941682554510e-03,        -8.142958201088e-03
 4.00000000e+00,        +1.414213562373e-01,        +7.337544805402e-02,        +6.640023814671e-02,        +2.429255837470e-02,        -1.847173208838e-03
 4.50000000e+00,        +1.414213562373e-01,        +9.328423732482e-02,        +5.403214877059e-02,        +3.557086412154e-02,        -1.650371006121e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.017807575922e-01,        +4.334579435821e-02,        +3.577816878584e-02,        -2.833718158582e-02
 5.50000000e+00,        +1.414213562373e-01,        +1.062006442443e-01,        +3.488473702819e-02,        +3.236562095536e-02,        -3.698044171056e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.085966274670e-01,        +2.761710376390e-02,        +2.745432522623e-02,        -4.363205520824e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.094988526215e-01,        +2.091844089623e-02,        +2.160670076792e-02,        -4.906703041932e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.088917146992e-01,        +1.448630756800e-02,        +1.481317070883e-02,        -5.371907423054e-02
