        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 8.00000000e+00,        -4.392041302835e+00,        +5.164223937719e+01
 8.05000000e+00,        -4.610497278519e+00,        +4.862219410374e+01
 8.10000000e+00,        -4.836975979183e+00,        +4.552478776609e+01
 8.15000000e+00,        -5.072380435711e+00,        +4.233633413208e+01
 8.20000000e+00,        -5.317790155800e+00,        +3.904086862926e+01
 8.25000000e+00,        -5.574500092444e+00,        +3.561957131803e+01
 8.30000000e+00,        -5.844069176592e+00,        +3.205001055379e+01
 8.35000000e+00,        -6.128385829281e+00,        +2.830513463260e+01
 8.40000000e+00,        -6.429746382519e+00,        +2.435189798046e+01
 8.45000000e+00,        -6.750959772863e+00,        +2.014938652444e+01
 8.50000000e+00,        -7.095475622891e+00,        +1.564618285325e+01
 8.55000000e+00,        -7.467541413977e+00,        +1.077662376937e+01
 8.60000000e+00,        -7.872379745861e+00,        +5.455366310649e+00
 8.65000000e+00,        -8.316355510010e+00,        -4.306492261511e-01
 8.70000000e+00,        -8.807039377861e+00,        -7.034292211002e+00
 8.75000000e+00,        -9.352918513721e+00,        -1.456667774211e+01
 8.80000000e+00,        -9.962114929161e+00,        -2.332517322823e+01
 8.85000000e+00,        -1.063853256294e+01,        -3.373423176861e+01
 8.90000000e+00,        -1.137175237671e+01,        -4.639614037325e+01
 8.95000000e+00,        -1.211358636303e+01,        -6.211639983458e+01
 9.00000000e+00,        -1.273483598822e+01,        -8.176277745694e+01
 9.05000000e+00,        -1.299146995462e+01,        -1.056494865787e+02
 9.10000000e+00,        -1.262364526531e+01,        -1.325088894664e+02
 9.15000000e+00,        -1.162678957336e+01,        -1.596428119865e+02
 9.20000000e+00,        -1.031547247326e+01,        +1.750744221980e+02
 9.25000000e+00,        -9.050943462444e+00,        +1.522682080496e+02
 9.30000000e+00,        -8.047977087509e+00,        +1.318611998105e+02
 9.35000000e+00,        -7.370274065918e+00,        +1.137169387275e+02
 9.40000000e+00,        -6.988249463581e+00,        +9.770989511670e+01
 9.45000000e+00,        -6.834595427607e+00,        +8.364859916848e+01
 9.50000000e+00,        -6.840090794407e+00,        +7.126711637102e+01
 9.55000000e+00,        -6.948893730821e+00,        +6.026935868750e+01
 9.60000000e+00,        -7.120866860445e+00,        +5.037279056477e+01
 9.65000000e+00,        -7.328662374769e+00,        +4.133153425771e+01
 9.70000000e+00,        -7.553905892968e+00,        +3.294248174023e+01
 9.75000000e+00,        -7.784053814479e+00,        +2.504254759452e+01
 9.80000000e+00,        -8.010183827985e+00,        +1.750283794153e+01
 9.85000000e+00,        -8.225555150558e+00,        +1.022262368121e+01
 9.90000000e+00,        -8.424716320114e+00,        +3.124217899432e+00
 9.95000000e+00,        -8.602983883471e+00,        -3.851016342206e+00
 1.00000000e+01,        -8.756171292820e+00,        -1.074566627579e+01
 1.00500000e+01,        -8.880488804912e+00,        -1.758854102788e+01
 1.01000000e+01,        -8.972560871017e+00,        -2.439650022692e+01
 1.01500000e+01,        -9.029518414938e+00,        -3.117608395717e+01
 1.02000000e+01,        -9.049130363577e+00,        -3.792515679615e+01
 1.02500000e+01,        -9.029939438586e+00,        -4.463467177876e+01
 1.03000000e+01,        -8.971370095147e+00,        -5.129058802607e+01
 1.03500000e+01,        -8.873785478234e+00,        -5.787585667524e+01
 1.04000000e+01,        -8.738472671148e+00,        -6.437242038516e+01
 1.04500000e+01,        -8.567565546066e+00,        -7.076294707633e+01
 1.05000000e+01,        -8.363905712809e+00,        -7.703227801912e+01
 1.05500000e+01,        -8.130867315967e+00,        -8.316842785047e+01
 1.06000000e+01,        -7.872172564211e+00,        -8.916311639189e+01
 1.06500000e+01,        -7.591705035861e+00,        -9.501190297623e+01
 1.07000000e+01,        -7.293354418450e+00,        -1.007139837990e+02
 1.07500000e+01,        -6.980894622445e+00,        -1.062717540112e+02
 1.08000000e+01,        -6.657925529094e+00,        -1.116901372787e+02
 1.08500000e+01,        -6.327742577396e+00,        -1.169761905780e+02
 1.09000000e+01,        -5.993389955322e+00,        -1.221382802335e+02
 1.09500000e+01,        -5.657618428303e+00,        -1.271856323631e+02
 1.10000000e+01,        -5.322896890097e+00,        -1.321278506084e+02
 1.10500000e+01,        -4.991462006113e+00,        -1.369744648285e+02
 1.11000000e+01,        -4.665278463629e+00,        -1.417347583891e+02
 1.11500000e+01,        -4.346127252413e+00,        -1.464173810201e+02
 1.12000000e+01,        -4.035598458533e+00,        -1.510302344031e+02
 1.12500000e+01,        -3.735115890562e+00,        -1.555802782144e+02
 1.13000000e+01,        -3.445926497492e+00,        -1.600734845581e+02
 1.13500000e+01,        -3.169154164000e+00,        -1.645151164129e+02
 1.14000000e+01,        -2.905824167209e+00,        -1.689091846358e+02
 1.14500000e+01,        -2.656814934131e+00,        -1.732586386930e+02
 1.15000000e+01,        -2.422881322898e+00,        -1.775655059139e+02
 1.15500000e+01,        -2.204659074858e+00,        +1.781690833696e+02
 1.16000000e+01,        -2.002663768394e+00,        +1.739448252010e+02
 1.16500000e+01,        -1.817289522568e+00,        +1.697621397615e+02
 1.17000000e+01,        -1.648808745472e+00,        +1.656220693343e+02
 1.17500000e+01,        -1.497372478664e+00,        +1.615261478343e+02
 1.18000000e+01,        -1.363012588761e+00,        +1.574762812730e+02
 1.18500000e+01,        -1.245645885476e+00,        +1.534746152617e+02
 1.19000000e+01,        -1.145080302475e+00,        +1.495234105777e+02
 1.19500000e+01,        -1.061023154218e+00,        +1.456249253151e+02
 1.20000000e+01,        -9.930912900124e-01,        +1.417813082506e+02
